Compound,Temperature,pH,Solvent 1,Base,Chelator,Chelator_amount,Pd_removal_efficiency
Palladium(II) acetate,40,11.79,2-methyltetrahydrofuran,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.534137816
Palladium(II) acetate,40,9.09,2-methyltetrahydrofuran,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.60159787
Palladium(II) acetate,40,10.91,2-methyltetrahydrofuran,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.64289281
Palladium(II) acetate,40,12.71,2-methyltetrahydrofuran,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.565962051
Palladium(II) acetate,40,11.79,Toluene,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.660558679
Palladium(II) acetate,40,9.09,Toluene,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.752881237
Palladium(II) acetate,40,10.91,Toluene,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.59952565
Palladium(II) acetate,40,12.71,Toluene,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.532132818
Palladium(II) acetate,40,11.79,Ethyl acetate,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.752902098
Palladium(II) acetate,40,9.09,Ethyl acetate,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.785034965
Palladium(II) acetate,40,10.91,Ethyl acetate,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.664055944
Palladium(II) acetate,40,12.71,Ethyl acetate,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.728146853
Palladium(II) acetate,40,11.79,Methyl isobutyl ketone,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.550632698
Palladium(II) acetate,40,9.09,Methyl isobutyl ketone,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.59139531
Palladium(II) acetate,40,10.91,Methyl isobutyl ketone,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.620195715
Palladium(II) acetate,40,12.71,Methyl isobutyl ketone,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.609650751
Palladium(II) acetate,40,11.79,Cyclopentyl methyl ether,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,5,0.635150892
Palladium(II) acetate,40,9.09,Cyclopentyl methyl ether,Potassium bicarbonate,Sodium diethyldithiocarbamate,5,0.670387517
Palladium(II) acetate,40,10.91,Cyclopentyl methyl ether,Potassium carbonate,Sodium diethyldithiocarbamate,5,0.652949246
Palladium(II) acetate,40,12.71,Cyclopentyl methyl ether,Potassium hydroxide,Sodium diethyldithiocarbamate,5,0.63223594
Palladium(II) acetate,40,11.87,2-methyltetrahydrofuran,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.617792943
Palladium(II) acetate,40,8.82,2-methyltetrahydrofuran,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.784670439
Palladium(II) acetate,40,10.63,2-methyltetrahydrofuran,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.65126498
Palladium(II) acetate,40,12.87,2-methyltetrahydrofuran,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.353345539
Palladium(II) acetate,40,11.87,Toluene,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.51800773
Palladium(II) acetate,40,8.82,Toluene,Potassium bicarbonate,Sodium diethyldithiocarbamate,10,0.819747013
Palladium(II) acetate,40,10.63,Toluene,Potassium carbonate,Sodium diethyldithiocarbamate,10,0.559785664
Palladium(II) acetate,40,12.87,Toluene,Potassium hydroxide,Sodium diethyldithiocarbamate,10,0.628812368
Palladium(II) acetate,40,11.87,Ethyl acetate,Potassium phosphate tribasic,Sodium diethyldithiocarbamate,10,0.770769231
